Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro IPCA+ com Juros Semestrais;15/08/2026;15/08/2023;122,087164;401345,85;48999176,60
Tesouro IPCA+ com Juros Semestrais;15/08/2030;15/08/2023;122,087164;372003,33;45416831,56
Tesouro IPCA+ com Juros Semestrais;15/08/2032;15/08/2023;122,087164;368784,22;45023819,55
Tesouro IPCA+ com Juros Semestrais;15/08/2040;15/08/2023;122,087164;313927,15;38326475,44
Tesouro IPCA+ com Juros Semestrais;15/05/2045;15/05/2023;121,758507;31102,46;3786989,10
Tesouro IPCA+ com Juros Semestrais;15/05/2035;15/05/2023;121,758507;369967,90;45046739,14
Tesouro IPCA+ com Juros Semestrais;15/05/2055;15/05/2023;121,758507;536311,06;65300433,95
Tesouro Prefixado com Juros Semestrais;01/01/2031;03/07/2023;48,808850;1107418,36;54051816,62
Tesouro Prefixado com Juros Semestrais;01/01/2025;03/07/2023;48,808850;127587,58;6227403,06
Tesouro Prefixado com Juros Semestrais;01/01/2033;03/07/2023;48,808850;1297202,38;63314956,38
Tesouro Prefixado com Juros Semestrais;01/01/2029;03/07/2023;48,808850;545150,48;26608168,01
Tesouro IGPM+ com Juros Semestrais;01/01/2031;03/07/2023;351,948002;6777,07;2385176,24
Tesouro Prefixado com Juros Semestrais;01/01/2027;03/07/2023;48,808850;218066,74;10643586,81
Tesouro IPCA+ com Juros Semestrais;15/08/2030;15/02/2024;124,536619;349695,53;43549898,99
Tesouro IPCA+ com Juros Semestrais;15/08/2024;15/02/2024;124,536619;23027,15;2867723,40
Tesouro IPCA+ com Juros Semestrais;15/08/2050;15/02/2024;124,536619;280099,99;34882705,74
Tesouro IPCA+ com Juros Semestrais;15/08/2026;15/02/2024;124,536619;378904,16;47187443,01
Tesouro IPCA+ com Juros Semestrais;15/08/2032;15/02/2024;124,536619;428284,03;53337045,07
Tesouro IPCA+ com Juros Semestrais;15/08/2040;15/02/2024;124,536619;336360,59;41889210,64
Tesouro Prefixado com Juros Semestrais;01/01/2027;02/01/2024;48,808850;207171,66;10111810,48
Tesouro Prefixado com Juros Semestrais;01/01/2029;02/01/2024;48,808850;511122,68;24947310,22
Tesouro Prefixado com Juros Semestrais;01/01/2031;02/01/2024;48,808850;1032660,08;50402950,94
Tesouro Prefixado com Juros Semestrais;01/01/2033;02/01/2024;48,808850;1594146,66;77808465,20
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/01/2024;356,657226;6759,15;2410699,69
Tesouro Prefixado com Juros Semestrais;01/01/2025;02/01/2024;48,808850;117608,79;5740349,79
Tesouro IPCA+ com Juros Semestrais;15/05/2055;16/11/2023;122,980671;562495,12;69176027,29
